start,end,gk,pct_in_gk_zone,distance_m,max_speed
2026-04-02 17:31:31.200,2026-04-02 17:34:31.200,NO,25.6,13.0,0.79
2026-04-02 17:34:31.200,2026-04-02 17:37:31.200,NO,8.1,91.7,2.65
2026-04-02 17:37:31.200,2026-04-02 17:40:31.200,NO,0.3,228.4,4.36
2026-04-02 17:40:31.200,2026-04-02 17:43:31.200,NO,2.8,218.8,4.71
2026-04-02 17:43:31.200,2026-04-02 17:46:31.200,YES,99.2,76.2,2.99
2026-04-02 17:46:31.200,2026-04-02 17:49:31.200,YES,71.3,128.1,3.95
2026-04-02 17:49:31.200,2026-04-02 17:52:31.200,NO,0.0,220.6,4.6
2026-04-02 17:52:31.200,2026-04-02 17:55:31.200,NO,1.7,166.5,4.99
2026-04-02 17:55:31.200,2026-04-02 17:58:31.200,NO,0.0,234.3,4.6
2026-04-02 17:58:31.200,2026-04-02 18:01:31.200,NO,0.0,214.2,4.78
2026-04-02 18:01:31.200,2026-04-02 18:04:31.200,NO,7.2,181.2,4.18
2026-04-02 18:04:31.200,2026-04-02 18:07:31.200,NO,0.0,134.7,4.57
2026-04-02 18:07:31.200,2026-04-02 18:10:31.200,NO,9.7,28.8,1.58
2026-04-02 18:10:31.200,2026-04-02 18:13:31.200,NO,0.0,198.4,3.48
2026-04-02 18:13:31.200,2026-04-02 18:16:31.200,NO,0.6,191.6,3.98
2026-04-02 18:16:31.200,2026-04-02 18:19:31.200,YES,88.3,90.5,4.12
2026-04-02 18:19:31.200,2026-04-02 18:22:31.200,YES,83.3,108.1,3.69
2026-04-02 18:22:31.200,2026-04-02 18:25:31.200,NO,0.0,193.5,4.44
2026-04-02 18:25:31.200,2026-04-02 18:28:31.200,NO,0.0,221.6,4.26
2026-04-02 18:28:31.200,2026-04-02 18:31:31.200,NO,0.0,195.9,4.42
2026-04-02 18:31:31.200,2026-04-02 18:34:31.200,NO,0.0,171.3,3.61
2026-04-02 18:34:31.200,2026-04-02 18:37:31.200,NO,0.0,177.9,5.03
2026-04-02 18:37:31.200,2026-04-02 18:40:31.200,NO,0.0,240.6,4.99
2026-04-02 18:40:31.200,2026-04-02 18:43:31.200,NO,0.0,134.3,4.84
2026-04-02 18:43:31.200,2026-04-02 18:46:31.200,NO,0.0,218.3,5.15
2026-04-02 18:46:31.200,2026-04-02 18:49:31.200,NO,13.4,115.4,4.84
2026-04-02 18:49:31.200,2026-04-02 18:52:31.200,NO,15.3,195.0,4.76
2026-04-02 18:52:31.200,2026-04-02 18:55:31.200,NO,32.7,51.4,4.18
